product_id,category,sub_category,brand,product_title,Img_URL,short_description,long_description,price,currency,discount_percentage,stock_quantity,rating,review_count,variants,specifications,tags,reviews
LAP037,Electronics,Laptop,Acer,Predator Helios 16,null,High-end gaming powerhouse,"Aggressive gaming laptop with excellent cooling and high refresh rate.",139999,INR,8,14,4.6,58,"[{""color"":""Black""}]","{""processor"":""Intel i9 13th Gen"",""ram"":""32GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4070"",""display"":""16 inch WQXGA 165Hz""}","[""gaming"",""predator"",""high end""]","[{""rating"":5,""comment"":""Beast for gaming""},{""rating"":4,""comment"":""Strong performance""}]"
LAP038,Electronics,Laptop,Apple,MacBook Pro 16 M3 Max,null,Ultimate creator laptop,"Top-tier MacBook for professional video editing and 3D work.",249999,INR,5,8,4.9,98,"[{""color"":""Space Black""}]","{""processor"":""Apple M3 Max"",""ram"":""32GB"",""storage"":""1TB SSD"",""display"":""16.2 inch Liquid Retina XDR"",""battery"":""22 hours""}","[""macbook"",""pro"",""creator"",""m3 max""]","[{""rating"":5,""comment"":""Unbelievable performance""},{""rating"":5,""comment"":""Best screen ever""}]"
LAP039,Electronics,Laptop,Lenovo,IdeaPad 5 Pro,null,Premium everyday laptop,"Stylish laptop with great display and solid performance.",62999,INR,15,45,4.3,91,"[{""color"":""Cloud Grey""}]","{""processor"":""AMD Ryzen 7 7735U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""16 inch 2.5K""}","[""everyday"",""premium"",""ideapad""]","[{""rating"":4,""comment"":""Beautiful display""},{""rating"":4,""comment"":""Good value""}]"
LAP040,Electronics,Laptop,HP,Pavilion Plus 14,null,Compact premium ultrabook,"Stylish and powerful compact laptop with OLED option.",69999,INR,12,38,4.4,76,"[{""color"":""Natural Silver""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 2.8K OLED""}","[""ultrabook"",""compact"",""oled""]","[{""rating"":5,""comment"":""Love the OLED screen""},{""rating"":4,""comment"":""Very portable""}]"
LAP041,Electronics,Laptop,MSI,Raider GE78,null,Extreme performance gaming laptop,"Massive high-end gaming laptop with top-tier specs.",179999,INR,10,10,4.5,42,"[{""color"":""Black""}]","{""processor"":""Intel i9 13th Gen"",""ram"":""32GB"",""storage"":""2TB SSD"",""gpu"":""RTX 4080"",""display"":""17 inch QHD 165Hz""}","[""gaming"",""high end"",""raider""]","[{""rating"":5,""comment"":""Absolute monster""},{""rating"":4,""comment"":""Heavy but powerful""}]"
LAP042,Electronics,Laptop,Dell,Vostro 3520,null,Reliable business laptop,"Affordable and dependable laptop for office and business use.",48999,INR,18,65,4.1,105,"[{""color"":""Carbon Black""}]","{""processor"":""Intel i5 12th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch FHD""}","[""business"",""office"",""vostro"",""reliable""]","[{""rating"":4,""comment"":""Good for daily work""},{""rating"":4,""comment"":""Solid build""}]"
LAP043,Electronics,Laptop,ASUS,Vivobook Pro 15,null,Creator focused performance laptop,"Balanced laptop with good GPU for light editing and productivity.",67999,INR,15,42,4.3,68,"[{""color"":""Cool Silver""}]","{""processor"":""AMD Ryzen 7 7735HS"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 3050"",""display"":""15.6 inch OLED""}","[""creator"",""vivobook"",""oled""]","[{""rating"":4,""comment"":""Great for students""},{""rating"":5,""comment"":""Vibrant colors""}]"
LAP044,Electronics,Laptop,Lenovo,ThinkPad T14 Gen 5,null,Business flagship laptop,"Highly durable and secure business laptop with legendary keyboard.",109999,INR,8,20,4.7,59,"[{""color"":""Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""14 inch 2.8K""}","[""business"",""thinkpad"",""durable"",""professional""]","[{""rating"":5,""comment"":""Best business laptop""},{""rating"":5,""comment"":""Amazing keyboard""}]"
LAP045,Electronics,Laptop,Acer,Swift Edge 16,null,Ultra-thin OLED laptop,"Very light laptop with large OLED display and long battery.",82999,INR,12,28,4.4,51,"[{""color"":""Black""}]","{""processor"":""AMD Ryzen 7 7840U"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""16 inch 3.2K OLED"",""weight"":""1.05kg""}","[""ultralight"",""oled"",""swift""]","[{""rating"":5,""comment"":""Gorgeous OLED""},{""rating"":4,""comment"":""Super portable""}]"
LAP046,Electronics,Laptop,HP,Victus 16,null,Powerful mid-range gaming laptop,"Well-balanced gaming laptop with strong graphics and cooling.",79999,INR,15,32,4.3,88,"[{""color"":""Performance Blue"",""ram"":""16GB""}]","{""processor"":""AMD Ryzen 7 7840HS"",""ram"":""16GB DDR5"",""storage"":""512GB SSD"",""gpu"":""RTX 4060"",""display"":""16.1 inch FHD 144Hz""}","[""gaming"",""victus"",""mid range""]","[{""rating"":4,""comment"":""Great performance""},{""rating"":4,""comment"":""Good value""}]"
LAP047,Electronics,Laptop,Dell,Inspiron 15 3530,null,Everyday reliable laptop,"Solid daily use laptop with good battery and performance.",52999,INR,18,58,4.2,94,"[{""color"":""Platinum Silver""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch FHD"",""battery"":""54Wh""}","[""everyday"",""student"",""office""]","[{""rating"":4,""comment"":""Reliable performer""},{""rating"":4,""comment"":""Good battery life""}]"
LAP048,Electronics,Laptop,ASUS,ROG Zephyrus G14,null,Compact powerful gaming laptop,"Iconic compact gaming laptop with excellent build and display.",124999,INR,10,18,4.7,76,"[{""color"":""Eclipse Gray""}]","{""processor"":""AMD Ryzen 9 7940HS"",""ram"":""32GB"",""storage"":""1TB SSD"",""gpu"":""RTX 4060"",""display"":""14 inch 3K OLED 120Hz""}","[""gaming"",""compact"",""zephyrus"",""premium""]","[{""rating"":5,""comment"":""Best compact gaming laptop""},{""rating"":5,""comment"":""Stunning OLED""}]"
LAP049,Electronics,Laptop,Lenovo,ThinkBook 16 Gen 6,null,Business productivity laptop,"Large screen business laptop with strong performance and durability.",72999,INR,12,30,4.4,65,"[{""color"":""Mineral Gray""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""16 inch WUXGA""}","[""business"",""productivity"",""thinkbook""]","[{""rating"":5,""comment"":""Great for work""},{""rating"":4,""comment"":""Large comfortable screen""}]"
LAP050,Electronics,Laptop,Acer,Aspire Vero,null,Eco-friendly everyday laptop,"Sustainable laptop with good performance and green design.",48999,INR,20,48,4.1,72,"[{""color"":""Green""}]","{""processor"":""Intel i5 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch FHD""}","[""eco friendly"",""budget"",""everyday""]","[{""rating"":4,""comment"":""Good for daily tasks""},{""rating"":4,""comment"":""Environment friendly""}]"
LAP051,Electronics,Laptop,MSI,Bravo 15,null,Value AMD gaming laptop,"Affordable gaming laptop with strong AMD processor and GPU.",64999,INR,18,40,4.2,81,"[{""color"":""Black""}]","{""processor"":""AMD Ryzen 7 7735HS"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 4050"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""amd"",""value""]","[{""rating"":4,""comment"":""Excellent value""},{""rating"":4,""comment"":""Good gaming performance""}]"
LAP052,Electronics,Laptop,Samsung,Galaxy Book4 Edge,null,AI powered ultrabook,"Next-gen Copilot+ PC with stunning display and efficiency.",109999,INR,10,20,4.6,53,"[{""color"":""Silver""}]","{""processor"":""Snapdragon X Elite"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch 3K AMOLED"",""battery"":""76Wh""}","[""ai"",""ultrabook"",""snapdragon"",""premium""]","[{""rating"":5,""comment"":""Amazing battery life""},{""rating"":4,""comment"":""Very fast""}]"
LAP053,Electronics,Laptop,HP,Envy 17,null,Large screen creator laptop,"Premium 17-inch laptop perfect for content creation and multitasking.",99999,INR,12,22,4.5,61,"[{""color"":""Natural Silver""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""32GB"",""storage"":""1TB SSD"",""display"":""17.3 inch 2.8K""}","[""creator"",""large screen"",""premium""]","[{""rating"":5,""comment"":""Huge beautiful screen""},{""rating"":4,""comment"":""Great for editing""}]"
LAP054,Electronics,Laptop,Lenovo,Yoga 9i 2-in-1,null,Flagship convertible laptop,"Ultra-premium 2-in-1 with stunning OLED display.",119999,INR,8,16,4.6,49,"[{""color"":""Storm Grey""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""14 inch 2.8K OLED Touch""}","[""2-in-1"",""yoga"",""premium"",""convertible""]","[{""rating"":5,""comment"":""Fantastic build and screen""},{""rating"":5,""comment"":""Very versatile""}]"
LAP055,Electronics,Laptop,ASUS,TUF Dash F15,null,Powerful yet portable gaming,"Slimmer version of TUF with strong performance.",85999,INR,15,28,4.3,67,"[{""color"":""Off Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""gpu"":""RTX 4060"",""display"":""15.6 inch FHD 144Hz""}","[""gaming"",""tuf"",""portable""]","[{""rating"":4,""comment"":""Good balance of power and size""},{""rating"":4,""comment"":""Durable build""}]"
LAP056,Electronics,Laptop,Dell,Latitude 5440,null,Enterprise business laptop,"Highly secure and manageable business ultrabook.",84999,INR,10,25,4.4,58,"[{""color"":""Carbon Black""}]","{""processor"":""Intel i7 13th Gen"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch FHD""}","[""business"",""enterprise"",""secure""]","[{""rating"":5,""comment"":""Very reliable for work""},{""rating"":4,""comment"":""Good keyboard""}]"
